Model,Description,Harga_MD,Harga_IPP,Harga_SDP,Harga_ADP,Harga_DPP,Harga_MSRP,Harga_Non_DPP,Category,Sumber,Warranty,Brand
HC-Video/1CH/1M,Video Surveillance Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —Video Surveillance: 1 Channel Video,34400,34400,34400,34400,34400,68700,48100,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-Video/1CH/1Y,Video Surveillance Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —Video Surveillance: 1 Channel Video M,341500,341500,341500,341500,341500,683000,478100,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-BasePackage/64 Video/1Y,Video Service Prerequisite: NA Warranty: NA Supported: —Validity Period: 12 Months —Video Surveillance: 64 Channel Video Management. —Others: Alarm ma,13659900,13659900,13659900,13659900,13659900,27319700,19123800,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-BasePackage/128 Video/1Y,Video Service Prerequisite: NA Warranty: NA Supported: —Validity Period: 12 Months —Video Surveillance: 128 Channel Video Management. —Others: Alarm m,27319700,27319700,27319700,27319700,27319700,54639400,38247600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-EventRecording/3Day/1CH/1M,Eventbased Cloud Storage Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —cloud storage: a cloud storag,85400,85400,85400,85400,85400,170800,119600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-EventRecording/7Day/1CH/1M,Eventbased Cloud Storage Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —cloud storage: a cloud storag,109700,109700,109700,109700,109700,219300,153600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-ContinuousRecording/7Day/1CH/1M,Continuous Cloud Storage Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —cloud storage: a cloud storag,426900,426900,426900,426900,426900,853800,597700,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-ContinuousRecording/30Day/1CH/1M,Continuous Cloud Storage Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —cloud storage: a cloud storag,837000,837000,837000,837000,837000,1674000,1171800,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-EventRecording/3Day/1CH/1Y,Eventbased Cloud Storage  Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —cloud storage: a cloud storage,853800,853800,853800,853800,853800,1707500,1195300,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-EventRecording/7Day/1CH/1Y,Eventbased Cloud Storage  Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —cloud storage: a cloud storage,1093200,1093200,1093200,1093200,1093200,2186300,1530500,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-ContinuousRecording/7Day/1CH/1Y,Continuous Cloud Storage  Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —cloud storage: a cloud storage,4200500,4200500,4200500,4200500,4200500,8401000,5880700,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-ContinuousRecording/30Day/1CH/1Y,Continuous Cloud Storage  Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —cloud storage: a cloud storage,8469200,8469200,8469200,8469200,8469200,16938400,11856900,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-BI/1M,"BI Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:   — Support heat mapping reports, display heat mappin",341500,341500,341500,341500,341500,683000,478100,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-BI/1Y,"BI Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:   — Support heat mapping reports, display heat mapping ",3415000,3415000,3415000,3415000,3415000,6830000,4781000,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-Vehicle/1Device/1M,On-Board Monitoring Monthly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Month Description:  —On-Board Monitoring: 1 Mobile Devi,82100,82100,82100,82100,82100,164100,114900,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-Vehicle/1Device/1Y,On-Board Monitoring Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —On-Board Monitoring: 1 Mobile Device,888100,888100,888100,888100,888100,1776200,1243400,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/1Door/1Y,Access Control & Time Attendance Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —Access Control& Time At,683000,683000,683000,683000,683000,1366000,956200,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/5Doors/1Y,Access Control & Time Attendance Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —Access Control& Time At,3073500,3073500,3073500,3073500,3073500,6147000,4302900,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/10Doors/1Y,Access Control & Time Attendance Yearly Subscription Service  Package Prerequisite: N.A  Service Period: 1 Year Description:  —Access Control& Time At,5464000,5464000,5464000,5464000,5464000,10927900,7649600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/1Door/Lifetime,Access Control & Time Attendance Lifetime Subscription Service  Package Prerequisite: N.A  Service Period: Lifetime Description:  —Access Control& Tim,2049000,2049000,2049000,2049000,2049000,4098000,2868600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/5Doors/Lifetime,Access Control & Time Attendance Lifetime Subscription Service  Package Prerequisite: N.A  Service Period: Lifetime Description:  —Access Control& Tim,9220400,9220400,9220400,9220400,9220400,18440800,12908600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-AC&TA/10Doors/Lifetime,Access Control & Time Attendance Lifetime Subscription Service  Package Prerequisite: N.A  Service Period: Lifetime Description:  —Access Control& Tim,16391900,16391900,16391900,16391900,16391900,32783700,22948600,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
HC-Customization/1Day/R&D,Customization Service Supported: —Validity Period: will be kept in Cloud Baseline. —Service Description: Provide Customization Service in Cloud. Featu,34149600,34149600,34149600,34149600,34149600,68299200,47809500,Hik-Connect Team,Hikvision Hik-Connect Team,2 Years Warranty,Hikvision
DS-2CV1043G2-LIDWF(B),"1/3"" Progressive CMOS, ICR, 0lux with IR, 1920×1080: 15fps(P/N), H.265+/H.265/H.264+/H.264, DWDR, 3D DNR, Build-in microphone; Build-in 2.4G Wi-Fi 802",1188600,1188600,1188600,1188600,1188600,1886667,1339533,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2CV1F43G2-LIDWF(B),"1/3"" Progressive CMOS, ICR, 0lux with IR, 2560×1440: 15fps(P/N), H.265+/H.265/H.264+/H.264, DWDR, 3D DNR, Build-in microphone; Build-in 2.4G Wi-Fi 802",1262900,1262900,1262900,1262900,1262900,2004603,1423268,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2DE2C400MWG/W,"1/2.7″ Progressive Scan CMOS Color: 0.005 Lux @(F1.6，AGC ON), B/W: 0 Lux with IR 2.8 mm,horizontal FOV 91°, vertical FOV 49°, diagonal FOV 108° 4 mm, ",1370600,1370600,1370600,1370600,1370600,2175556,1544644,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2DE2C400MWG WIFI,"1/2.7″ Progressive Scan CMOS Color: 0.005 Lux @(F1.6，AGC ON), B/W: 0 Lux with IR 2.8 mm,horizontal FOV 91°, vertical FOV 49°, diagonal FOV 108° 4 mm, ",1370600,1370600,1370600,1370600,1370600,2175556,1544644,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2CD1043G2-LIDUF/4G/SL,"1/3"" Progressive CMOS, ICR,2560 × 1440: 15fps(P/N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microph",1514000,1514000,1514000,1514000,1514000,2403175,1706254,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2DE2C400MWG-4G,"1/2.7″ Progressive Scan CMOS Color: 0.005 Lux @(F1.6，AGC ON), B/W: 0 Lux with IR 2.8 mm, horizontal FOV 94°, vertical FOV 49°, diagonal FOV 114° 4 mm,",1596600,1596600,1596600,1596600,1596600,2534286,1799343,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2DE2C400MWG 4G,"1/2.7″ Progressive Scan CMOS Color: 0.005 Lux @(F1.6，AGC ON), B/W: 0 Lux with IR 2.8 mm, horizontal FOV 94°, vertical FOV 49°, diagonal FOV 114° 4 mm,",1596600,1596600,1596600,1596600,1596600,2534286,1799343,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-7104NI-S1/W,"4-ch camera input,  Up to 512 GB Micro SD card storage capacity; Wireless Parameter：2.4 GHz,150 Mbps,IEEE 802.11b/g/n/ax,High gain antenna",563900,563900,563900,563900,563900,895079,635506,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2CFSP4/4G/EU,"1/2.9"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;  Color: 0.01 lux @(F1.6, AGC ON), 0 lux with LED on;  12.5fps/15fps(2560×1440, 1920×108",3423031,3423031,3423031,3423031,3423031,5433383,3857702,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2CFSP4/4G,"1/2.9"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;  Color: 0.01 lux @(F1.6, AGC ON), 0 lux with LED on;  12.5fps/15fps(2560×1440, 1920×108",3423031,3423031,3423031,3423031,3423031,5433383,3857702,SMB Wireless Solution,Hikvision SMB Wireless Solution,2 Years Warranty,Hikvision
DS-2CD1021G0-I,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE -IU :Built-i",689100,689100,689100,689100,689100,984429,777699,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G0,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE -IU :Built-i",689100,689100,689100,689100,689100,984429,777699,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G0-IU,,866000,866000,866000,866000,866000,1237143,977343,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1121G0-I,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE",729700,729700,729700,729700,729700,1042429,823519,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1121G0,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE",729700,729700,729700,729700,729700,1042429,823519,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G0-I,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE -IU :Built-i",689100,689100,689100,689100,689100,984429,777699,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G0,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE -IU :Built-i",689100,689100,689100,689100,689100,984429,777699,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G0-IU,,866000,866000,866000,866000,866000,1237143,977343,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G2-LIU,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body",943400,943400,943400,943400,943400,1347715,1064695,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G2,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & ",1098100,1098100,1098100,1098100,1098100,1568715,1239285,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G2-LIUF,,1053800,1053800,1053800,1053800,1053800,1505429,1189289,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1121G2-LIU,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body",1039200,1039200,1039200,1039200,1039200,1484572,1172812,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1121G2,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body",1039200,1039200,1039200,1039200,1039200,1484572,1172812,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1121G2-LIUF,,1127601,1127601,1127601,1127601,1127601,1610858,1272578,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G2-LIU,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body",1039200,1039200,1039200,1039200,1039200,1484572,1172812,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G2,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & ",1171800,1171800,1171800,1171800,1171800,1674000,1322460,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G2-LIUF,,1127601,1127601,1127601,1127601,1127601,1610858,1272578,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1021G2-LIUF/SL,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & ",1098100,1098100,1098100,1098100,1098100,1568715,1239285,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1321G2-LIUF/SL,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & ",1171800,1171800,1171800,1171800,1171800,1674000,1322460,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1041G2-LIU,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body dete",1390300,1390300,1390300,1390300,1390300,1986143,1569053,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1041G2,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & strob",1553901,1553901,1553901,1553901,1553901,2219858,1753688,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1041G2-LIUF,,1516801,1516801,1516801,1516801,1516801,2166858,1711818,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1141G2-LIU,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body dete",1446200,1446200,1446200,1446200,1446200,2066000,1632140,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1141G2,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body dete",1446200,1446200,1446200,1446200,1446200,2066000,1632140,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1141G2-LIUF,,1576301,1576301,1576301,1576301,1576301,2251858,1778968,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1341G2-LIU,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body dete",1446200,1446200,1446200,1446200,1446200,2066000,1632140,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1341G2,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & strob",1617200,1617200,1617200,1617200,1617200,2310286,1825126,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1341G2-LIUF,,1576301,1576301,1576301,1576301,1576301,2251858,1778968,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1041G2-LIUF/SL,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & strob",1553901,1553901,1553901,1553901,1553901,2219858,1753688,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1341G2-LIUF/SL,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in microphone & speaker, audio & strob",1617200,1617200,1617200,1617200,1617200,2310286,1825126,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1043G2-LIU,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microph",1498200,1498200,1498200,1498200,1498200,2140286,1690826,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1043G2,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microph",1498200,1498200,1498200,1498200,1498200,2140286,1690826,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1043G2-LIUF,,1624500,1624500,1624500,1624500,1624500,2320715,1833365,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1023G2-LIU,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1013400,1013400,1013400,1013400,1013400,1447715,1143695,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1023G2,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1013400,1013400,1013400,1013400,1013400,1447715,1143695,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1023G2-LIUF,,1131300,1131300,1131300,1131300,1131300,1616143,1276753,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1143G2-LIU,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microph",1550300,1550300,1550300,1550300,1550300,2214715,1749625,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1143G2,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microph",1550300,1550300,1550300,1550300,1550300,2214715,1749625,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1143G2-LIUF,,1687800,1687800,1687800,1687800,1687800,2411143,1904803,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1123G2-LIU,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1112800,1112800,1112800,1112800,1112800,1589715,1255875,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1123G2,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1112800,1112800,1112800,1112800,1112800,1589715,1255875,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1123G2-LIUF,,1208700,1208700,1208700,1208700,1208700,1726715,1364105,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1343G2-LIU,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in micro",1550300,1550300,1550300,1550300,1550300,2214715,1749625,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1343G2,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in micro",1550300,1550300,1550300,1550300,1550300,2214715,1749625,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1343G2-LIUF,,1687800,1687800,1687800,1687800,1687800,2411143,1904803,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1323G2-LIU,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1112800,1112800,1112800,1112800,1112800,1589715,1255875,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1323G2,"1/3"" Progressive CMOS, ICR,1920x1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in mi",1112800,1112800,1112800,1112800,1112800,1589715,1255875,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1323G2-LIUF,,1208700,1208700,1208700,1208700,1208700,1726715,1364105,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T23G2-LIUF,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in ",1455500,1455500,1455500,1455500,1455500,2079286,1642636,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T23G2,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in ",1455500,1455500,1455500,1455500,1455500,2079286,1642636,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T43G2-LIUF,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in micro",2052100,2052100,2052100,2052100,2052100,2931572,2315942,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T43G2,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in micro",2052100,2052100,2052100,2052100,2052100,2931572,2315942,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T63G2-LIUF,"1/3"" Progressive CMOS, ICR,3200 × 1800: 20fps(P/N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in micropho",2062600,2062600,2062600,2062600,2062600,2946572,2327792,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T63G2,"1/3"" Progressive CMOS, ICR,3200 × 1800: 20fps(P/N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in micropho",2062600,2062600,2062600,2062600,2062600,2946572,2327792,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T83G2-LIUF,"1/3"" Progressive CMOS, ICR, 3840 × 2160: 12.5fps(P)/15fps(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-i",2373900,2373900,2373900,2373900,2373900,3391286,2679116,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1T83G2,"1/3"" Progressive CMOS, ICR, 3840 × 2160: 12.5fps(P)/15fps(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-i",2373900,2373900,2373900,2373900,2373900,3391286,2679116,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1623G2-LIZSU,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in ",3404900,3404900,3404900,3404900,3404900,4864143,3842673,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
DS-2CD1623G2,"1/3"" Progressive CMOS, ICR,1920 × 1080: 25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 50m, Built-in ",3404900,3404900,3404900,3404900,3404900,4864143,3842673,1 series IPC,Hikvision 1 series IPC,2 Years Warranty,Hikvision
